Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,Open OU,,Close OU,
1003,15,V,Vancouver,1,0,0,1,105,125,5,-115,5,-140
1003,16,H,SanJose,0,2,2,4,-125,-145,5,-105,5,120
1004,51,V,Ottawa,0,0,1,1,-120,-140,5.5,-115,5.5,110
1004,52,H,Buffalo,0,0,0,0,100,120,5.5,-105,5.5,-130
1004,53,V,NYIslanders,1,1,1,4,-105,-110,5.5,-104,5.5,105
1004,54,H,NewJersey,1,1,1,3,-115,-110,5.5,-116,5.5,-125
1004,55,V,Calgary,2,0,2,4,162,175,5.5,-109,5.5,-115
1004,56,H,Columbus,2,0,1,3,-182,-205,5.5,-111,5.5,-105
1004,57,V,Detroit,0,0,2,3,-115,-125,5.5,-115,5.5,-110
1004,58,H,Carolina,1,1,0,2,-105,105,5.5,-105,5.5,-110
1004,59,V,LosAngeles,1,0,2,3,-105,105,5.5,-104,5.5,100
1004,60,H,Winnipeg,1,1,3,5,-115,-125,5.5,-116,5.5,-120
1004,61,V,Nashville,0,1,0,1,136,130,5.5,100,5.5,105
1004,62,H,Colorado,1,1,1,3,-156,-150,5.5,-120,5.5,-125
1005,1,V,Philadelphia,0,0,1,1,107,105,6,100,6,105
1005,2,H,Montreal,1,0,3,4,-127,-125,6,-120,6,-125
1005,3,V,Ottawa,2,2,0,4,115,120,5.5,-115,5.5,115
1005,4,H,Toronto,2,1,1,5,-135,-140,5.5,-105,5.5,-135
1005,5,V,Detroit,1,0,0,1,125,150,5.5,100,5.5,135
1005,6,H,Boston,1,2,1,4,-145,-170,5.5,-120,5.5,-155
1005,7,V,Columbus,0,0,2,3,105,105,5.5,-104,5.5,-105
1005,8,H,NYIslanders,0,2,0,2,-125,-125,5.5,-116,5.5,-115
1005,9,V,Buffalo,0,0,1,1,190,220,6,100,6,115
1005,10,H,Pittsburgh,2,0,2,4,-220,-270,6,-120,6,-135
1005,11,V,TampaBay,0,0,2,3,179,190,5.5,-120,5.5,-130
1005,12,H,Chicago,0,2,0,2,-209,-230,5.5,100,5.5,110
1005,13,V,Florida,0,0,0,0,170,180,5.5,100,5.5,120
1005,14,H,St.Louis,1,4,2,7,-200,-210,5.5,-120,5.5,-140
1005,15,V,Washington,1,0,0,1,-104,-120,5.5,-130,5.5,-120
1005,16,H,Dallas,1,1,0,2,-116,100,5.5,110,5.5,100
1005,17,V,Anaheim,2,1,0,4,110,125,5,-130,5,-135
1005,18,H,Minnesota,1,1,1,3,-130,-145,5,110,5,115
1005,19,V,Edmonton,1,1,0,2,131,130,5.5,-105,5.5,110
1005,20,H,Vancouver,3,2,1,6,-151,-150,5.5,-115,5.5,-130
1005,21,V,Phoenix,0,1,0,1,131,135,5.5,115,5.5,125
1005,22,H,SanJose,3,0,1,4,-151,-155,5.5,-135,5.5,-145
1006,51,V,Philadelphia,0,1,0,1,100,120,5.5,-130,5.5,-115
1006,52,H,Carolina,1,1,0,2,-120,-140,5.5,110,5.5,-105
1006,53,V,Anaheim,1,1,1,3,105,130,5.5,-120,5.5,-115
1006,54,H,Winnipeg,2,0,0,2,-125,-150,5.5,100,5.5,-105
1006,55,V,Vancouver,1,0,3,5,-145,-125,5.5,-104,5.5,-115
1006,56,H,Calgary,1,1,2,4,125,105,5.5,-116,5.5,-105
1007,1,V,NewJersey,2,1,1,4,115,100,5.5,100,5.5,115
1007,2,H,Edmonton,0,0,4,5,-135,-120,5.5,-120,5.5,-135
1007,3,V,NYRangers,1,1,1,3,125,145,5,-120,5,-115
1007,4,H,LosAngeles,0,1,0,1,-145,-165,5,100,5,-105
1008,51,V,Colorado,0,1,1,2,117,115,6,100,6,-110
1008,52,H,Toronto,0,1,0,1,-137,-135,6,-120,6,-110
1008,53,V,Phoenix,0,1,0,1,105,110,5.5,100,5.5,100
1008,54,H,NYIslanders,2,3,1,6,-125,-130,5.5,-120,5.5,-120
1008,55,V,Florida,0,1,0,1,135,145,5.5,-115,5.5,-120
1008,56,H,Philadelphia,2,0,0,2,-155,-165,5.5,-105,5.5,100
1008,57,V,Carolina,0,1,1,2,179,190,5.5,-125,5.5,-110
1008,58,H,Pittsburgh,1,1,3,5,-209,-220,5.5,105,5.5,-110
1008,59,V,TampaBay,0,1,1,3,-105,-120,5.5,-105,5.5,105
1008,60,H,Buffalo,0,2,0,2,-115,100,5.5,-115,5.5,-125
1008,61,V,Minnesota,1,1,0,2,-110,110,5,-125,5,-125
1008,62,H,Nashville,3,0,0,3,-110,-130,5,105,5,105
1008,63,V,NewJersey,1,1,0,2,159,160,5.5,-105,5.5,130
1008,64,H,Vancouver,0,2,0,3,-179,-180,5.5,-115,5.5,-150
1008,65,V,NYRangers,1,0,1,2,139,150,5,-120,5,-120
1008,66,H,SanJose,2,4,3,9,-159,-170,5,100,5,100
1009,1,V,Chicago,1,1,0,2,100,100,5.5,105,5.5,120
1009,2,H,St.Louis,1,1,1,3,-120,-120,5.5,-125,5.5,-140
1009,3,V,Montreal,0,1,1,2,-130,-140,5.5,-115,5.5,-135
1009,4,H,Calgary,2,1,0,3,110,120,5.5,-105,5.5,115
1009,5,V,Ottawa,0,1,2,3,120,155,5,-120,5,-105
1009,6,H,LosAngeles,3,0,0,4,-140,-175,5,100,5,-115
1010,51,V,Colorado,1,0,1,2,145,175,5.5,100,5.5,110
1010,52,H,Boston,0,0,0,0,-165,-205,5.5,-120,5.5,-130
1010,53,V,Columbus,3,1,0,4,-125,-115,5,-120,5,-130
1010,54,H,Buffalo,1,0,0,1,105,-105,5,100,5,110
1010,55,V,Carolina,0,2,1,3,139,155,5.5,-120,5.5,-115
1010,56,H,Washington,1,1,0,2,-159,-175,5.5,100,5.5,-105
1010,57,V,Phoenix,1,1,2,4,144,155,5,-120,5,-130
1010,58,H,Detroit,0,2,0,2,-164,-175,5,100,5,110
1010,59,V,Florida,0,1,1,2,139,160,5.5,-117,5.5,-135
1010,60,H,TampaBay,2,2,3,7,-159,-180,5.5,-103,5.5,115
1010,61,V,Toronto,0,2,2,4,-106,-115,5.5,-110,5.5,115
1010,62,H,Nashville,0,0,0,0,-114,-105,5.5,-110,5.5,-135
1010,63,V,Winnipeg,1,0,0,1,105,140,5.5,-110,5.5,100
1010,64,H,Minnesota,1,1,0,2,-125,-160,5.5,-110,5.5,-120
1010,65,V,Montreal,0,2,2,4,105,110,5.5,-115,5.5,-120
1010,66,H,Edmonton,0,1,0,1,-125,-130,5.5,-105,5.5,100
1010,67,V,SanJose,2,1,1,4,105,-125,5.5,-105,5.5,110
1010,68,H,Vancouver,0,1,0,1,-125,105,5.5,-115,5.5,-130
1010,69,V,NYRangers,0,0,0,0,117,130,5.5,100,5.5,130
1010,70,H,Anaheim,3,3,0,6,-137,-150,5.5,-120,5.5,-150
1011,1,V,Phoenix,1,1,0,2,123,140,5.5,-110,5.5,-110
1011,2,H,Philadelphia,0,1,0,1,-143,-160,5.5,-110,5.5,-110
1011,3,V,LosAngeles,0,0,1,2,-125,-140,5.5,-104,5.5,115
1011,4,H,Carolina,0,0,1,1,105,120,5.5,-116,5.5,-135
1011,5,V,Pittsburgh,2,1,0,3,-177,-205,5.5,-120,5.5,-130
1011,6,H,Florida,2,2,2,6,157,175,5.5,100,5.5,110
1011,7,V,NYIslanders,2,0,0,2,155,170,5.5,-115,5.5,-140
1011,8,H,Chicago,2,1,0,3,-175,-200,5.5,-105,5.5,120
1011,9,V,Dallas,3,1,0,4,112,-105,5.5,-118,5.5,-105
1011,10,H,Winnipeg,0,0,1,1,-132,-115,5.5,-102,5.5,-115
1011,11,V,NewJersey,1,1,0,2,-104,-125,5.5,-105,5.5,105
1011,12,H,Calgary,0,2,1,3,-116,105,5.5,-115,5.5,-125
1012,51,V,Boston,0,1,2,3,-120,-135,5,-115,5,-125
1012,52,H,Columbus,1,0,0,1,100,115,5,-105,5,105
1012,53,V,Edmonton,2,1,2,5,140,160,5.5,-115,5.5,-120
1012,54,H,Toronto,2,1,2,6,-160,-180,5.5,-105,5.5,100
1012,55,V,Philadelphia,0,1,1,2,140,180,5.5,100,5.5,115
1012,56,H,Detroit,1,1,3,5,-160,-210,5.5,-120,5.5,-135
1012,57,V,Pittsburgh,0,2,3,5,-130,-135,5.5,-115,5.5,-140
1012,58,H,TampaBay,1,2,1,4,110,115,5.5,-105,5.5,120
1012,59,V,Colorado,2,1,2,5,115,100,5.5,-110,5.5,-110
1012,60,H,Washington,0,0,1,1,-135,-120,5.5,-110,5.5,-110
1012,61,V,Buffalo,0,0,1,1,190,215,5.5,100,5.5,110
1012,62,H,Chicago,1,1,0,2,-230,-265,5.5,-120,5.5,-130
1012,63,V,NYRangers,1,1,1,3,173,200,5,-130,5,-135
1012,64,H,St.Louis,1,3,1,5,-193,-240,5,110,5,115
1012,65,V,NYIslanders,0,2,0,2,-105,100,5,-130,5,-140
1012,66,H,Nashville,0,2,1,3,-115,-120,5,110,5,120
1012,67,V,Dallas,0,1,0,1,125,150,5,-130,5,-145
1012,68,H,Minnesota,2,2,1,5,-145,-170,5,110,5,125
1012,69,V,Montreal,1,1,2,4,115,115,5.5,100,5.5,120
1012,70,H,Vancouver,0,1,0,1,-135,-135,5.5,-120,5.5,-140
1012,71,V,Ottawa,2,0,0,2,150,175,5.5,100,5.5,115
1012,72,H,SanJose,1,1,1,3,-170,-205,5.5,-120,5.5,-135
1013,1,V,Phoenix,1,2,2,5,100,100,5,-130,5.5,110
1013,2,H,Carolina,1,2,0,3,-120,-120,5,110,5.5,-130
1013,3,V,LosAngeles,0,2,1,3,-140,-140,5.5,110,5.5,120
1013,4,H,Florida,0,0,0,0,120,120,5.5,-130,5.5,-140
1013,5,V,NewJersey,0,0,0,0,120,-105,5.5,105,5.5,115
1013,6,H,Winnipeg,0,1,2,3,-140,-115,5.5,-125,5.5,-135
1013,7,V,Ottawa,1,0,0,1,130,125,5.5,105,5.5,130
1013,8,H,Anaheim,2,2,0,4,-150,-145,5.5,-125,5.5,-150
1014,51,V,Detroit,1,2,0,3,130,140,5,-125,5,-105
1014,52,H,Boston,1,0,1,2,-150,-160,5,105,5,-115
1014,53,V,Edmonton,1,0,1,2,140,140,5.5,-120,6,-110
1014,54,H,Washington,1,3,0,4,-160,-160,5.5,100,6,-110
1014,55,V,Minnesota,1,1,0,2,-130,-155,5,-120,5,-120
1014,56,H,Buffalo,0,1,0,1,110,135,5,100,5,100
1015,1,V,Buffalo,0,2,1,4,165,180,5,-120,5,-130
1015,2,H,NYIslanders,1,1,1,3,-185,-210,5,100,5,110
1015,3,V,Minnesota,1,0,0,1,130,125,5.5,-115,5.5,100
1015,4,H,Toronto,2,1,1,4,-150,-145,5.5,-105,5.5,-120
1015,5,V,Vancouver,1,0,2,3,-104,-119,5,-130,5,-150
1015,6,H,Philadelphia,1,1,0,2,-116,-101,5,110,5,130
1015,7,V,Edmonton,0,2,0,2,190,215,6,-110,6,-115
1015,8,H,Pittsburgh,1,1,1,3,-230,-255,6,-110,6,-105
1015,9,V,Chicago,2,0,0,3,-160,-155,5.5,110,5.5,110
1015,10,H,Carolina,0,0,2,2,140,135,5.5,-130,5.5,-130
1015,11,V,Columbus,0,1,0,1,113,100,5.5,100,5.5,130
1015,12,H,Detroit,1,1,0,2,-133,-120,5.5,-120,5.5,-150
1015,13,V,LosAngeles,0,0,1,1,-120,-105,5.5,-105,5.5,110
1015,14,H,TampaBay,2,1,2,5,100,-115,5.5,-115,5.5,-130
1015,15,V,SanJose,2,2,2,6,110,110,5.5,115,5.5,130
1015,16,H,St.Louis,0,0,2,2,-130,-130,5.5,-135,5.5,-150
1015,17,V,Florida,0,2,1,3,140,145,5,-135,5,-145
1015,18,H,Nashville,1,1,2,4,-160,-165,5,115,5,125
1015,19,V,Montreal,2,0,1,3,-120,-130,5.5,100,5.5,100
1015,20,H,Winnipeg,0,0,0,0,100,110,5.5,-120,5.5,-120
1015,21,V,Dallas,1,1,0,2,160,155,5.5,100,5.5,-107
1015,22,H,Colorado,2,1,0,3,-180,-175,5.5,-120,5.5,-113
1015,23,V,Ottawa,0,1,2,4,120,120,5,-135,5,-142
1015,24,H,Phoenix,0,2,1,3,-140,-140,5,115,5,122
1016,51,V,NYRangers,0,2,0,2,130,130,5.5,-105,5.5,120
1016,52,H,Washington,0,0,0,0,-150,-150,5.5,-115,5.5,-140
1016,53,V,Calgary,1,0,1,2,170,170,5.5,-120,5.5,-125
1016,54,H,Anaheim,2,1,0,3,-190,-200,5.5,100,5.5,105
1017,1,V,Carolina,0,0,3,3,150,130,5.5,-130,5.5,100
1017,2,H,Toronto,0,2,0,2,-170,-150,5.5,110,5.5,-120
1017,3,V,Vancouver,1,1,1,3,-140,-140,5,-140,5,-120
1017,4,H,Buffalo,0,0,0,0,120,120,5,120,5,100
1017,5,V,Edmonton,2,0,0,2,140,135,6,100,6,100
1017,6,H,NYIslanders,1,2,0,3,-160,-155,6,-120,6,-120
1017,7,V,Pittsburgh,0,2,2,4,-160,-155,5.5,-125,5.5,-105
1017,8,H,Philadelphia,0,1,0,1,140,135,5.5,105,5.5,-115
1017,9,V,Columbus,0,2,1,3,140,140,5,-125,5,-130
1017,10,H,Montreal,2,1,2,5,-160,-160,5,105,5,110
1017,11,V,NewJersey,0,0,2,2,140,130,5,-135,5,-120
1017,12,H,Ottawa,2,1,2,5,-160,-150,5,115,5,100
1017,13,V,Minnesota,0,0,1,1,100,100,5.5,-115,5,-140
1017,14,H,TampaBay,1,0,2,3,-120,-120,5.5,-105,5,120
1017,15,V,Boston,2,0,1,3,-180,-180,5,-130,5,-140
1017,16,H,Florida,0,1,1,2,160,160,5,110,5,120
1017,17,V,St.Louis,1,1,0,3,130,120,5.5,-105,5.5,108
1017,18,H,Chicago,1,1,0,2,-150,-140,5.5,-115,5.5,-128
1017,19,V,LosAngeles,1,0,0,2,-120,-115,5,-115,5,-110
1017,20,H,Nashville,1,0,0,1,100,-105,5,-105,5,-110
1017,21,V,SanJose,2,1,0,3,-160,-175,5.5,-105,5.5,106
1017,22,H,Dallas,1,2,0,4,140,155,5.5,-115,5.5,-126
1017,23,V,Detroit,2,0,2,4,120,120,5.5,125,5.5,115
1017,24,H,Colorado,0,2,0,2,-140,-140,5.5,-145,5.5,-135
1018,51,V,St.Louis,2,0,1,3,-119,-120,5.5,-101,5.5,110
1018,52,H,Winnipeg,1,0,2,4,-101,100,5.5,-119,5.5,-130
1018,53,V,Phoenix,0,1,1,2,125,120,5.5,-102,5.5,120
1018,54,H,Anaheim,1,0,1,3,-145,-140,5.5,-118,5.5,-140
1019,1,V,Vancouver,1,1,1,3,143,145,5.5,-115,5.5,-105
1019,2,H,Pittsburgh,1,1,1,4,-163,-165,5.5,-105,5.5,-115
1019,3,V,Edmonton,2,0,1,3,155,160,5.5,-115,5.5,-110
1019,4,H,Ottawa,0,0,1,1,-175,-180,5.5,-105,5.5,-110
1019,5,V,Colorado,2,2,0,4,-165,-140,5,-111,5,-140
1019,6,H,Buffalo,0,1,1,2,145,120,5,-109,5,120
1019,7,V,Nashville,1,0,1,2,157,145,5,-120,5,-130
1019,8,H,Montreal,0,1,0,1,-177,-165,5,100,5,110
1019,9,V,Boston,1,3,1,5,-108,-115,5.5,100,5,-145
1019,10,H,TampaBay,0,0,0,0,-112,-105,5.5,-120,5,125
1019,11,V,Minnesota,0,1,0,1,-133,-140,5,-115,5,-120
1019,12,H,Florida,0,0,1,2,113,120,5,-105,5,100
1019,13,V,NYRangers,0,0,0,0,-105,-105,5.5,-105,5,105
1019,14,H,NewJersey,2,2,0,4,-115,-115,5.5,-115,5,-125
1019,15,V,Carolina,0,3,1,4,112,120,5.5,-105,5.5,-105
1019,16,H,NYIslanders,0,1,2,3,-132,-140,5.5,-115,5.5,-115
1019,17,V,Columbus,0,0,1,1,115,110,5.5,-105,5.5,105
1019,18,H,Washington,0,2,2,4,-135,-130,5.5,-115,5.5,-125
1019,19,V,Toronto,0,1,0,1,150,160,5,-135,5.5,-105
1019,20,H,Chicago,0,3,0,3,-170,-180,5,115,5.5,-115
1019,21,V,Detroit,2,0,0,2,-110,-120,5.5,-105,5.5,125
1019,22,H,Phoenix,0,1,4,5,-110,100,5.5,-115,5.5,-145
1019,23,V,Calgary,0,1,2,3,213,235,5.5,-120,5.5,-135
1019,24,H,SanJose,2,2,2,6,-263,-285,5.5,100,5.5,115
1019,25,V,Dallas,1,1,0,2,155,160,5,-115,5,-120
1019,26,H,LosAngeles,2,0,3,5,-175,-180,5,-105,5,100
1020,51,V,Vancouver,0,1,0,1,100,-125,5.5,110,5.5,110
1020,52,H,Columbus,1,0,2,3,-120,105,5.5,-130,5.5,-130
1020,53,V,Nashville,0,3,0,3,130,140,5.5,110,5.5,130
1020,54,H,Winnipeg,0,0,1,1,-150,-160,5.5,-130,5.5,-150
1020,55,V,Dallas,3,0,0,3,174,190,5.5,-101,5.5,105
1020,56,H,Anaheim,1,3,2,6,-194,-220,5.5,-119,5.5,-125
1021,1,V,SanJose,0,0,0,1,-115,-125,5.5,-110,5.5,120
1021,2,H,Detroit,0,0,0,0,-105,105,5.5,-110,5.5,-140
1021,3,V,Colorado,0,1,0,1,145,145,5.5,-120,5.5,-110
1021,4,H,Pittsburgh,0,0,0,0,-165,-165,5.5,100,5.5,-110
1021,5,V,Calgary,0,2,1,3,190,210,5.5,110,5.5,110
1021,6,H,LosAngeles,1,1,0,2,-220,-260,5.5,-130,5.5,-130
1022,51,V,Anaheim,1,1,0,2,-104,-105,5.5,-104,5.5,-110
1022,52,H,Toronto,0,3,1,4,-116,-115,5.5,-116,5.5,-110
1022,53,V,Vancouver,2,2,0,5,-104,-120,5.5,105,5.5,115
1022,54,H,NYIslanders,2,1,1,4,-116,100,5.5,-125,5.5,-135
1022,55,V,NewJersey,0,1,0,1,113,125,5,-115,5,105
1022,56,H,Columbus,0,2,2,4,-133,-145,5,-105,5,-125
1022,57,V,Edmonton,0,2,2,4,170,180,5.5,-113,5.5,105
1022,58,H,Montreal,2,0,1,3,-200,-210,5.5,-107,5.5,-125
1022,59,V,Chicago,0,2,0,3,-190,-180,5.5,105,5.5,135
1022,60,H,Florida,0,0,2,2,170,160,5.5,-125,5.5,-155
1022,61,V,Nashville,0,0,0,0,125,142,5,-109,5,100
1022,62,H,Minnesota,0,1,1,2,-145,-162,5,-111,5,-120
1022,63,V,Washington,0,3,1,5,-106,-111,5.5,-104,5.5,-105
1022,64,H,Winnipeg,0,3,1,4,-114,-109,5.5,-116,5.5,-115
1022,65,V,Calgary,0,1,1,2,170,190,5.5,-105,5.5,100
1022,66,H,Phoenix,1,1,2,4,-190,-220,5.5,-115,5.5,-120
1023,1,V,Ottawa,3,1,2,6,130,120,5.5,100,5.5,130
1023,2,H,Detroit,1,0,0,1,-150,-140,5.5,-120,5.5,-150
1023,3,V,Boston,1,2,2,5,-175,-170,5,-120,5,-120
1023,4,H,Buffalo,0,2,0,2,155,150,5,100,5,100
1024,51,V,SanJose,0,0,1,1,-105,-115,5,-125,5,-110
1024,52,H,Boston,0,1,1,2,-115,-105,5,105,5,-110
1024,53,V,Vancouver,1,1,0,3,-115,-115,5,-115,5,100
1024,54,H,NewJersey,2,0,0,2,-105,-105,5,-105,5,-120
1024,55,V,NYRangers,1,0,0,1,123,130,5.5,100,5.5,125
1024,56,H,Philadelphia,1,0,1,2,-143,-150,5.5,-120,5.5,-145
1024,57,V,Anaheim,0,0,1,1,105,105,5.5,-105,5.5,-115
1024,58,H,Montreal,2,1,1,4,-125,-125,5.5,-115,5.5,-105
1024,59,V,Chicago,0,3,2,5,-125,-133,5.5,105,5.5,100
1024,60,H,TampaBay,1,2,2,6,105,113,5.5,-125,5.5,-120
1024,61,V,Winnipeg,0,1,1,2,105,115,5,-120,5,-145
1024,62,H,Nashville,1,0,1,3,-125,-135,5,100,5,125
1024,63,V,Carolina,0,1,0,1,139,125,5,-120,5,-115
1024,64,H,Minnesota,2,0,1,3,-159,-145,5,100,5,-105
1024,65,V,Calgary,0,1,0,1,150,135,5.5,-110,5.5,-115
1024,66,H,Dallas,1,3,1,5,-170,-155,5.5,-110,5.5,-105
1024,67,V,Washington,1,1,2,4,-104,-125,5.5,-125,5.5,-120
1024,68,H,Edmonton,0,0,1,1,-116,105,5.5,105,5.5,100
1024,69,V,Phoenix,0,2,2,4,129,140,5,-130,5,-105
1024,70,H,LosAngeles,4,0,3,7,-149,-160,5,110,5,-115
1025,1,V,NYIslanders,1,0,3,4,160,185,5.5,-111,6,-110
1025,2,H,Pittsburgh,1,1,1,3,-180,-215,5.5,-109,6,-110
1025,3,V,Toronto,0,1,1,2,103,110,5.5,101,5.5,120
1025,4,H,Columbus,1,0,4,5,-123,-130,5.5,-121,5.5,-140
1025,5,V,Anaheim,2,0,0,2,-105,135,5.5,-110,5.5,-105
1025,6,H,Ottawa,0,1,0,1,-115,-155,5.5,-110,5.5,-115
1025,7,V,Buffalo,0,1,2,3,118,120,5,-120,5,-135
1025,8,H,Florida,1,0,0,1,-138,-140,5,100,5,115
1025,9,V,Vancouver,1,1,0,3,140,170,5.5,106,5,-135
1025,10,H,St.Louis,0,1,1,2,-160,-200,5.5,-126,5,115
1025,11,V,Carolina,0,1,1,2,153,185,5.5,111,5.5,-115
1025,12,H,Colorado,2,1,1,4,-173,-215,5.5,-131,5.5,-105
1026,51,V,Edmonton,1,2,1,4,135,160,5.5,-115,5.5,-110
1026,52,H,Phoenix,0,3,2,5,-155,-180,5.5,-105,5.5,-110
1026,53,V,NewJersey,1,1,2,4,177,185,5,-105,5,100
1026,54,H,Boston,3,0,0,3,-207,-215,5,-115,5,-120
1026,55,V,SanJose,0,1,1,2,-122,-125,5.5,-104,5,-140
1026,56,H,Montreal,0,0,0,0,102,105,5.5,-116,5,120
1026,57,V,NYRangers,0,1,1,3,190,170,5,-120,5,-125
1026,58,H,Detroit,1,1,0,2,-220,-200,5,100,5,105
1026,59,V,Buffalo,0,1,1,2,187,190,5.5,106,5.5,105
1026,60,H,TampaBay,1,0,2,3,-217,-230,5.5,-126,5.5,-125
1026,61,V,Philadelphia,3,0,2,5,128,-105,5.5,-104,5.5,100
1026,62,H,NYIslanders,1,1,0,2,-148,-115,5.5,-116,5.5,-120
1026,63,V,Pittsburgh,1,0,0,1,-120,-140,5.5,-120,5.5,-120
1026,64,H,Toronto,1,0,3,4,100,120,5.5,100,5.5,100
1026,65,V,Winnipeg,0,1,0,2,109,115,5.5,-115,5.5,-115
1026,66,H,Dallas,0,0,1,1,-129,-135,5.5,-105,5.5,-105
1026,67,V,Minnesota,1,2,2,5,163,160,5,-104,5,100
1026,68,H,Chicago,0,1,2,3,-183,-180,5,-116,5,-120
1026,69,V,St.Louis,1,2,3,6,-120,-130,5.5,111,5,-125
1026,70,H,Nashville,0,0,1,1,100,110,5.5,-131,5,105
1026,71,V,Washington,1,1,0,2,-125,-130,5.5,-119,5.5,-120
1026,72,H,Calgary,3,0,2,5,105,110,5.5,-101,5.5,100
1027,1,V,SanJose,3,0,2,5,-105,105,5.5,100,5.5,125
1027,2,H,Ottawa,1,1,0,2,-115,-125,5.5,-120,5.5,-145
1027,3,V,TampaBay,2,1,0,4,-104,-111,5.5,-105,5.5,-120
1027,4,H,Florida,1,0,2,3,-116,-109,5.5,-115,5.5,100
1027,5,V,Anaheim,0,2,2,4,-110,105,5,-107,5,-125
1027,6,H,Columbus,1,1,1,3,-110,-125,5,-113,5,105
1027,7,V,Winnipeg,1,1,0,2,173,190,5.5,-105,5.5,110
1027,8,H,Colorado,1,0,2,3,-193,-230,5.5,-115,5.5,-130
1027,9,V,Edmonton,0,1,0,1,180,210,5.5,107,5.5,110
1027,10,H,LosAngeles,0,1,0,2,-210,-250,5.5,-127,5.5,-130
1028,51,V,Dallas,3,1,0,4,-125,-140,5.5,110,5,-130
1028,52,H,Buffalo,1,2,0,3,105,120,5.5,-130,5,110
1028,53,V,Pittsburgh,1,1,1,3,-140,-190,5.5,-105,5.5,-125
1028,54,H,Carolina,1,0,0,1,120,170,5.5,-115,5.5,105
1028,55,V,Montreal,0,1,1,2,-111,101,5,-110,5,-133
1028,56,H,NYRangers,0,0,0,0,-109,-121,5,-110,5,113
1028,57,V,Chicago,1,2,2,5,-110,-130,5,-110,5,-105
1028,58,H,Minnesota,0,1,0,1,-110,110,5,-110,5,-115
1028,59,V,Washington,1,0,1,2,125,140,5.5,-105,5.5,100
1028,60,H,Vancouver,1,0,2,3,-145,-160,5.5,-115,5.5,-120
1029,1,V,NYRangers,1,0,2,3,130,140,5.5,-105,5,-145
1029,2,H,NYIslanders,0,2,0,2,-150,-160,5.5,-115,5,125
1029,3,V,Anaheim,0,1,2,3,-116,-113,5.5,100,5.5,120
1029,4,H,Philadelphia,2,0,0,2,-104,-107,5.5,-120,5.5,-140
1029,5,V,Dallas,0,1,0,1,140,125,5,-109,5.5,120
1029,6,H,Montreal,1,1,0,2,-160,-145,5,-111,5.5,-140
1029,7,V,TampaBay,0,1,0,1,-106,-120,5.5,111,5.5,120
1029,8,H,NewJersey,0,2,0,2,-114,100,5.5,-131,5.5,-140
1029,9,V,Ottawa,1,3,1,5,145,125,5,-130,5.5,115
1029,10,H,Chicago,1,2,3,6,-165,-145,5,110,5.5,-135
1029,11,V,Winnipeg,1,0,1,2,173,180,5.5,100,5.5,110
1029,12,H,St.Louis,1,0,2,3,-193,-210,5.5,-120,5.5,-130
1029,13,V,Toronto,1,2,1,4,-112,-124,5.5,-130,5.5,-125
1029,14,H,Edmonton,0,0,0,0,-108,104,5.5,110,5.5,105
1029,15,V,LosAngeles,0,0,1,1,100,-110,5,-123,5,-145
1029,16,H,Phoenix,0,2,1,3,-120,-110,5,103,5,125
1030,51,V,Boston,0,0,2,2,120,107,5.5,110,5,-145
