,id,fullName,link,firstName,lastName,primaryNumber,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,nationality,height,weight,active,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,currentTeam,primaryPosition,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,games,gamesStarted,shotsAgainst,goalsAgainst,timeOnIcePerGame,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,assists,goals,pim,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame
10,8476454,Ryan Nugent-Hopkins,/api/v1/people/8476454,Ryan,Nugent-Hopkins,93,1993-04-12,28,Burnaby,BC,CAN,CAN,"6' 0""",184,True,True,False,False,L,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}",101:35,,,,,,,,,,,,,,,5,,,,20:19,,,,7.0,0.0,0.0,10.0,4.0,0.0,4.0,15:53,71:45,0,37.83,0.0,0.0,0.0,0.0,1.0,13:57,4.0,1.0,7.0,113.0,14:21,02:47,03:10
11,8476879,Cody Ceci,/api/v1/people/8476879,Cody,Ceci,5,1993-12-21,27,Ottawa,ON,CAN,CAN,"6' 2""",210,True,False,False,False,R,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}",99:54,,,,,,,,,,,,,,,5,,,,19:58,,,,1.0,0.0,0.0,6.0,8.0,0.0,0.0,00:00,87:28,0,0.0,0.0,0.0,0.0,0.0,0.0,12:26,10.0,0.0,1.0,121.0,17:29,02:29,00:00
12,8476886,Slater Koekkoek,/api/v1/people/8476886,Slater,Koekkoek,20,1994-02-18,27,Winchester,ON,CAN,CAN,"6' 2""",193,True,False,False,False,L,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}",30:47,,,,,,,,,,,,,,,3,,,,10:15,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,00:00,30:11,0,0.0,0.0,0.0,0.0,0.0,0.0,00:36,4.0,1.0,0.0,41.0,10:03,00:12,00:00
13,8476913,Devin Shore,/api/v1/people/8476913,Devin,Shore,14,1994-07-19,27,Ajax,ON,CAN,CAN,"6' 1""",206,True,False,False,False,L,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}",28:38,,,,,,,,,,,,,,,3,,,,09:32,,,,0.0,0.0,0.0,3.0,4.0,0.0,0.0,00:00,25:38,0,68.75,0.0,0.0,0.0,0.0,0.0,03:00,1.0,-1.0,0.0,39.0,08:32,01:00,00:00
14,8477498,Darnell Nurse,/api/v1/people/8477498,Darnell,Nurse,25,1995-02-04,26,Hamilton,ON,CAN,CAN,"6' 4""",221,True,True,False,False,L,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}",138:06,,,,,,,,,,,,,,,5,,,,27:37,,,,3.0,0.0,2.0,16.0,32.0,0.0,2.0,06:05,114:02,2,0.0,0.0,0.0,0.0,0.0,0.0,17:59,7.0,4.0,3.0,140.0,22:48,03:35,01:13
15,8477934,Leon Draisaitl,/api/v1/people/8477934,Leon,Draisaitl,29,1995-10-27,25,Cologne,,DEU,DEU,"6' 2""",208,True,True,False,False,L,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}",113:19,,,,,,,,,,,,,,,5,,,,22:39,,,,7.0,4.0,0.0,17.0,1.0,1.0,4.0,17:03,92:24,0,64.51,23.5,1.0,0.0,0.0,0.0,03:52,1.0,7.0,11.0,114.0,18:28,00:46,03:24
16,8477943,Brendan Perlini,/api/v1/people/8477943,Brendan,Perlini,42,1996-04-27,25,Guildford,,GBR,GBR,"6' 3""",211,True,False,False,False,L,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}",30:59,,,,,,,,,,,,,,,4,,,,07:44,,,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,00:00,30:59,0,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,0.0,0.0,39.0,07:44,00:00,00:00
17,8477998,Warren Foegele,/api/v1/people/8477998,Warren,Foegele,37,1996-04-01,25,Markham,ON,CAN,CAN,"6' 2""",198,True,False,False,False,L,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}",67:22,,,,,,,,,,,,,,,5,,,,13:28,,,,2.0,1.0,0.0,9.0,8.0,0.0,0.0,02:32,61:04,0,37.5,11.1,0.0,0.0,0.0,0.0,03:46,1.0,1.0,3.0,89.0,12:12,00:45,00:30
18,8478402,Connor McDavid,/api/v1/people/8478402,Connor,McDavid,97,1997-01-13,24,Richmond Hill,ON,CAN,CAN,"6' 1""",193,True,False,True,False,L,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}",108:23,,,,,,,,,,,,,,,5,,,,21:40,,,,7.0,6.0,2.0,21.0,2.0,3.0,7.0,16:52,91:02,2,52.0,28.6,1.0,0.0,0.0,0.0,00:29,1.0,3.0,13.0,106.0,18:12,00:05,03:22
19,8478585,Derek Ryan,/api/v1/people/8478585,Derek,Ryan,10,1986-12-29,34,Spokane,WA,USA,USA,"5' 10""",185,True,False,False,False,R,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}",69:39,,,,,,,,,,,,,,,5,,,,13:55,,,,0.0,1.0,0.0,9.0,3.0,0.0,0.0,01:00,57:27,0,59.09,11.1,0.0,0.0,0.0,0.0,11:12,5.0,0.0,1.0,104.0,11:29,02:14,00:12
20,8479344,Jesse Puljujarvi,/api/v1/people/8479344,Jesse,Puljujarvi,13,1998-05-07,23,Alvkarleby,,SWE,FIN,"6' 4""",201,True,False,False,False,R,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}",84:51,,,,,,,,,,,,,,,5,,,,16:58,,,,6.0,2.0,4.0,11.0,6.0,0.0,1.0,06:43,78:08,4,0.0,18.2,0.0,0.0,0.0,0.0,00:00,1.0,3.0,8.0,101.0,15:37,00:00,01:20
21,8479347,Tyler Benson,/api/v1/people/8479347,Tyler,Benson,16,1998-03-15,23,Edmonton,AB,CAN,CAN,"6' 0""",190,True,False,False,True,L,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}",07:49,,,,,,,,,,,,,,,1,,,,07:49,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,00:00,07:49,0,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,0.0,0.0,11.0,07:49,00:00,00:00
22,8479977,Kailer Yamamoto,/api/v1/people/8479977,Kailer,Yamamoto,56,1998-09-29,23,Spokane,WA,USA,USA,"5' 8""",153,True,False,False,False,R,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}",73:42,,,,,,,,,,,,,,,5,,,,14:44,,,,0.0,0.0,4.0,9.0,5.0,0.0,0.0,00:24,63:30,4,0.0,0.0,0.0,0.0,0.0,0.0,09:48,4.0,-1.0,0.0,93.0,12:42,01:57,00:04
23,8480803,Evan Bouchard,/api/v1/people/8480803,Evan,Bouchard,75,1999-10-20,22,Oakville,ON,CAN,CAN,"6' 3""",194,True,False,False,False,R,Y,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}","{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}",101:14,,,,,,,,,,,,,,,5,,,,20:14,,,,2.0,1.0,2.0,14.0,3.0,0.0,1.0,02:43,81:06,2,0.0,7.1,0.0,0.0,0.0,0.0,17:25,11.0,5.0,3.0,119.0,16:13,03:29,00:32
